Term,Library,p-value,q-value,z-score,combined score,overlaps
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),GO_Biological_Process_2021,7.30E-30,4.25E-26,15.93,1069,RPL4;RPL5;SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
cotranslational protein targeting to membrane (GO:0006613),GO_Biological_Process_2021,1.99E-29,5.78E-26,14.01,925.9,RPL4;RPL5;SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL39;RPS10;RPS13;RPS12;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;SSR2;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;SSR1;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
Peptide Chain Elongation R-HSA-156902,Reactome_2022,3.76E-29,6.68E-26,16.71,1093,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RSL24D1;RPS24;RPS23
Eukaryotic Translation Elongation R-HSA-156842,Reactome_2022,1.08E-28,9.60E-26,14.52,934.7,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;EEF1G;EEF1D;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RSL24D1;RPS24;RPS23
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome_2022,2.25E-28,1.33E-25,10.16,647.1,RPL4;RPL5;SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36AL;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;SSR4;RPS8;RPL23;RPS5;SSR2;RPL22;RPS6;SSR3;RPL13A;RPSA;RPS3A;DDOST;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPN2;RPL12;RPN1;RPL11;RPL36A;RPS27L;RPS15A;SRP72;RPL14;RPS3;SSR1;RPL15;RPS2;RPL18;RPS27A;SEC11A;RPL19;RPL41;RPL35A;RPL23A;RPS25;SPCS3;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome_2022,5.49E-28,2.44E-25,11.68,733.2,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;EIF3L;RPL27A;EIF3I;EIF3G;EIF3H;RPS20;EIF3E;RPL22L1;EIF3F;FAU;RPS21;RSL24D1;EIF3D;RPS24;EIF3A;RPS23
Viral mRNA Translation R-HSA-192823,Reactome_2022,1.47E-27,5.21E-25,13.3,821.8,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;DNAJC3;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS27L;BLOC1S6;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;GRSF1;RPS21;RSL24D1;RPS24;RPS23
cytoplasmic translation (GO:0002181),GO_Biological_Process_2021,9.13E-27,1.77E-23,11.79,707,RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;EIF3I;RPL27A;RPL22L1;RPS20;RPS21;RPS24;RPS23
protein targeting to ER (GO:0045047),GO_Biological_Process_2021,3.69E-26,5.37E-23,9.572,560.5,RPL4;RPL5;SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;MAN1A1;RPL37;RPS11;SEC62;RPL39;RPS10;RPS13;RPS12;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;EDEM1;RPL35A;RPL23A;RPS25;SPCS3;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",GO_Biological_Process_2021,1.78E-21,2.08E-18,6.48,309.6,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;PPP2R2A;SMG9;RPL10A;RPL8;SMG7;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;PPP2R1A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;NCBP1;RPS8;NCBP2;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;ETF1;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS27;RPS29;RPL27A;RPS20;EIF3E;RPS21;RPS24;RPS23
Coronavirus disease,KEGG_2021_Human,3.15E-16,1.01E-13,2.971,106,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL10A;TNF;RPL6;RPL7;RPS14;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;IL12A;RPL38;RPL37;RPS11;RPL39;RPS10;IL6R;RPS13;RPS12;IFNAR2;RPS9;RPL21;RPL36A-HNRNPH2;RPS7;PRKCB;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;ACE2;RPL24;RPL27;RPL26;RPL29;IL6ST;RPL28;UBA52;CFB;C5AR1;PIK3R1;C3;C5;C9;PLCG2;JUN;RPL41;ACE;EIF2AK2;NFKBIA;RPS25;IL6;RPS27;RPS29;RPL27A;RPS20;TAB2;RPS21;RSL24D1;RPS24;RPS23;CXCL8;RPLP1;RPLP0;CGAS;PIK3CD;PIK3CB;IFIH1;RPS4X;RPL7A;RPLP2;SYK;VWF;RPL13A;RPS3A;FOS;TNFRSF1A;IRF3;OAS1;TRAF3;RPL37A;TLR3;IRF9;HBEGF;RPL10;C1S;RPS10-NUDT3;RPL12;RPL11;RPL36A;RPS27L;TMPRSS2;MAPK9;MAPK8;RPS15A;RPL14;RPS3;RPL13;MAPK1;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;MAPK3;STAT2;STAT3;MX1;RPL35A;RPL23A;MAPK14;MAPK12;MAPK13;RPL22L1;FAU
Focal adhesion,KEGG_2021_Human,2.65E-13,4.23E-11,2.845,82.39,ITGA2B;ELK1;ACTB;ARHGAP35;MYLK3;CRKL;ACTG1;PPP1CB;CCND2;CCND1;CAPN2;AKT1;PDGFRB;PDGFRA;MAP2K1;PRKCB;ACTN1;ACTN4;PGF;MYL7;COL4A2;COL4A1;TLN1;VCL;SHC1;PXN;PDGFB;PDGFA;PIK3R1;MYL12A;RAP1B;PDGFD;CHAD;PIP5K1A;PIP5K1B;VASP;JUN;FN1;BRAF;PARVA;PTK2;COL1A1;GRB2;COL9A2;ITGB1;GSK3B;ITGB5;ITGB4;FLT4;RASGRF1;PTEN;PIK3CD;LAMC2;PIK3CB;ARHGAP5;RAC3;ITGB8;RAC1;ITGB6;VAV3;VWF;ITGA3;ITGA2;ITGA1;RHOA;VAV1;VAV2;COL2A1;COL6A2;COL6A1;RAPGEF1;ITGA6;ITGA5;DOCK1;MET;PPP1R12C;SOS2;BIRC3;LAMA5;TNXB;ROCK1;LAMA1;LAMA4;LAMA3;XIAP;THBS1;CDC42;MAPK9;MAPK8;ERBB2;SPP1;FLNA;PAK6;MAPK1;FLNB;PAK3;PAK2;PAK4;MAPK3;LAMB3;BAD;LAMB1;BUB1B-PAK6;PPP1CA;VEGFA;ZYX;CTNNB1;BCAR1
Ribosome,KEGG_2021_Human,9.35E-12,9.94E-10,2.996,76.08,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL36;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;MRPL2;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPL36A-HNRNPH2;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPS10-NUDT3;RPL12;RPL11;RPL36A;MRPL17;RPS27L;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL30;RPS25;RPS27;RPS29;RPL27A;RNR2;RPS20;RPL22L1;FAU;RNR1;RPS21;RSL24D1;RPS24;RPS23
Regulation of actin cytoskeleton,KEGG_2021_Human,2.51E-09,1.60E-07,2.272,44.99,CYFIP1;NCKAP1;CHRM5;ITGA2B;ARAF;ACTB;ARHGAP35;MYLK3;CRKL;ACTG1;PPP1CB;CFL1;PIP4K2A;PDGFRB;PDGFRA;MAP2K1;ACTN1;F2R;ACTN4;TIAM1;MYL7;SPATA13;EZR;PFN1;VCL;PXN;LPAR1;PDGFB;LPAR2;PDGFA;IQGAP1;PIK3R1;IQGAP2;IQGAP3;MYL12A;SCIN;PDGFD;PIP5K1A;MYH14;PIP5K1B;FN1;BRAF;ARPC4;ARPC5;GNG12;PTK2;DIAPH2;DIAPH3;LPAR5;ARPC2;ARPC3;FGFR4;FGFR3;FGFR2;FGFR1;ITGB1;ITGB5;ITGB4;ARPC1B;ARPC1A;PIK3CD;WASL;PIK3CB;RAC3;ITGB8;RAC1;ITGB6;GIT1;VAV3;ACTR3;ACTR2;ITGA3;ITGA2;ITGA1;RRAS2;RHOA;VAV1;VAV2;ENAH;MRAS;ARHGEF4;MYH9;ITGA6;ITGA5;ARHGEF7;DOCK1;PPP1R12C;SOS2;ROCK1;CDC42;GNA12;PAK6;MAPK1;PAK3;WASF1;PAK2;PAK4;MAPK3;GSN;LIMK1;BUB1B-PAK6;PPP1CA;ABI2;KRAS;BCAR1
